from;to;distance_m;oneway;highway;name
27235582;5525617863;13.50;1;secondary;Place de la Porte de Champerret
5525617863;8449824693;4.97;1;secondary;Place de la Porte de Champerret
8449824693;8449824692;2.40;1;secondary;Place de la Porte de Champerret
8449824692;8449824691;2.67;1;secondary;Place de la Porte de Champerret
8449824691;6256539830;2.31;1;secondary;Place de la Porte de Champerret
6256539830;8449824690;54.41;1;secondary;Place de la Porte de Champerret
8449824690;6256544637;2.16;1;secondary;Place de la Porte de Champerret
6256544637;8449824689;2.44;1;secondary;Place de la Porte de Champerret
8449824689;5525617861;1.94;1;secondary;Place de la Porte de Champerret
5525617861;8449824688;2.85;1;secondary;Place de la Porte de Champerret
8449824688;8449824687;3.09;1;secondary;Place de la Porte de Champerret
8449824687;8449824686;2.40;1;secondary;Place de la Porte de Champerret
8449824686;5525617858;1.88;1;secondary;Place de la Porte de Champerret
9094338326;21292455;1.88;1;secondary;
21292455;9094338485;2.32;1;secondary;
9094338485;1988510911;2.33;1;secondary;
1988510911;1759306830;2.34;1;secondary;
1759306830;21292460;2.33;1;secondary;
21292460;9094338484;2.32;1;secondary;
9094338484;9094338327;2.34;1;secondary;
9094338327;353192572;2.33;1;secondary;
353192572;9094338477;2.05;1;residential;Rue Jacques Ibert
9094338477;9094338479;1.52;1;residential;Rue Jacques Ibert
9094338479;9094338481;1.38;1;residential;Rue Jacques Ibert
9094338481;4622395558;4.72;1;residential;Rue Jacques Ibert
4622395558;353192571;67.43;1;residential;Rue Jacques Ibert
353192571;4622395526;7.77;1;residential;Rue Jacques Ibert
4622395526;4622395527;66.20;1;residential;Rue Jacques Ibert
4622395527;268127165;8.53;1;residential;Rue Jacques Ibert
268127165;4622395530;11.55;1;residential;Rue Jacques Ibert
4622395530;319710527;25.44;1;residential;Rue Jacques Ibert
9029128856;5150632181;17.10;0;residential;Rue de Courcelles
5150632181;9029128856;17.10;0;residential;Rue de Courcelles
5150632181;319710083;45.58;0;residential;Rue de Courcelles
319710083;5150632181;45.58;0;residential;Rue de Courcelles
319710083;2183516950;28.84;0;residential;Rue de Courcelles
2183516950;319710083;28.84;0;residential;Rue de Courcelles
2183516950;3623124168;46.66;0;residential;Rue de Courcelles
3623124168;2183516950;46.66;0;residential;Rue de Courcelles
3623124168;2183516920;10.02;0;residential;Rue de Courcelles
2183516920;3623124168;10.02;0;residential;Rue de Courcelles
2183516920;21292453;14.43;0;residential;Rue de Courcelles
21292453;2183516920;14.43;0;residential;Rue de Courcelles
21292453;4622395525;9.24;0;residential;Rue de Courcelles
4622395525;21292453;9.24;0;residential;Rue de Courcelles
644133;2700086531;11.59;0;residential;Rue de Prony
2700086531;644133;11.59;0;residential;Rue de Prony
2700086531;1107432319;79.11;0;residential;Rue de Prony
1107432319;2700086531;79.11;0;residential;Rue de Prony
27233726;5095554407;16.30;1;secondary;Boulevard Pereire
5095554407;6046914643;3.01;1;secondary;Boulevard Pereire
6046914643;27233853;35.73;1;secondary;Boulevard Pereire
27233804;11300086283;10.12;1;residential;Avenue Gourgaud
11300086283;12297693025;1.10;1;residential;Avenue Gourgaud
12297693025;11300086284;5.83;1;residential;Avenue Gourgaud
11300086284;13065385358;3.99;1;residential;Avenue Gourgaud
13065385358;11298541160;5.77;1;residential;Avenue Gourgaud
11298541160;11300086282;2.38;1;residential;Avenue Gourgaud
11300086282;11298541163;3.79;1;residential;Avenue Gourgaud
11298541163;1369651732;3.80;1;residential;Avenue Gourgaud
27286624;11313881570;3.72;0;residential;Avenue de la Porte de Villiers
11313881570;27286624;3.72;0;residential;Avenue de la Porte de Villiers
11313881570;11313881571;6.70;0;residential;Avenue de la Porte de Villiers
11313881571;11313881570;6.70;0;residential;Avenue de la Porte de Villiers
11313881571;27286616;3.78;0;residential;Avenue de la Porte de Villiers
27286616;11313881571;3.78;0;residential;Avenue de la Porte de Villiers
27286616;11313881532;2.59;0;residential;Avenue de la Porte de Villiers
11313881532;27286616;2.59;0;residential;Avenue de la Porte de Villiers
11313881532;6411731225;7.24;0;residential;Avenue de la Porte de Villiers
6411731225;11313881532;7.24;0;residential;Avenue de la Porte de Villiers
6411731225;27286639;63.92;0;residential;Avenue de la Porte de Villiers
27286639;6411731225;63.92;0;residential;Avenue de la Porte de Villiers
27286639;6867570640;50.54;0;residential;Avenue de la Porte de Villiers
6867570640;27286639;50.54;0;residential;Avenue de la Porte de Villiers
6867570640;27286613;9.01;0;residential;Avenue de la Porte de Villiers
27286613;6867570640;9.01;0;residential;Avenue de la Porte de Villiers
27235518;8143434100;5.68;1;secondary;Boulevard Pereire
8143434100;6470495019;133.56;1;secondary;Boulevard Pereire
6470495019;27235520;6.16;1;secondary;Boulevard Pereire
27235520;6470488715;5.78;1;secondary;Boulevard Pereire
6470488715;27235535;79.49;1;secondary;Boulevard Pereire
27235535;6468229606;78.54;1;secondary;Boulevard Pereire
6468229606;27235533;5.57;1;secondary;Boulevard Pereire
27286613;6867561372;10.58;1;residential;Boulevard de Dixmude
6867561372;6867560525;54.84;1;residential;Boulevard de Dixmude
6867560525;27286620;12.11;1;residential;Boulevard de Dixmude
27286620;6867557333;69.36;1;residential;Boulevard de Dixmude
6867557333;27286621;3.93;1;residential;Boulevard de Dixmude
27286621;27286640;66.75;1;residential;Boulevard de Dixmude
27234261;5310525393;13.42;1;residential;Avenue des Chasseurs
5310525393;6060861885;84.17;1;residential;Avenue des Chasseurs
6060861885;8659032464;10.00;1;residential;Avenue des Chasseurs
27233870;2190217457;6.56;0;residential;Rue Philibert Delorme
2190217457;27233870;6.56;0;residential;Rue Philibert Delorme
2190217457;2190217432;109.00;0;residential;Rue Philibert Delorme
2190217432;2190217457;109.00;0;residential;Rue Philibert Delorme
2190217432;27288853;10.11;0;residential;Rue Philibert Delorme
27288853;2190217432;10.11;0;residential;Rue Philibert Delorme
9020073970;9020073971;2.04;1;residential;Rue Philibert Delorme
9020073971;9020073972;1.57;1;residential;Rue Philibert Delorme
9020073972;9020073973;1.73;1;residential;Rue Philibert Delorme
9020073973;1369652169;2.48;1;residential;Rue Philibert Delorme
1369652169;1369652114;32.98;1;residential;Rue Philibert Delorme
1369652114;9028319394;20.93;1;residential;Rue Philibert Delorme
9028319394;27286726;20.06;1;residential;Rue Philibert Delorme
27286726;9028319395;20.37;1;residential;Rue Philibert Delorme
9028319395;9028319393;12.57;1;residential;Rue Philibert Delorme
9028319393;944668514;14.64;1;residential;Rue Philibert Delorme
944668514;9028319392;19.21;1;residential;Rue Philibert Delorme
9028319392;9028319391;11.61;1;residential;Rue Philibert Delorme
9028319391;2190217461;9.44;1;residential;Rue Philibert Delorme
2190217461;9028319390;10.40;1;residential;Rue Philibert Delorme
9028319390;27233870;30.05;1;residential;Rue Philibert Delorme
27233870;2190217459;39.60;1;residential;Rue Nicolas Chuquet
2190217459;9020074050;115.08;1;residential;Rue Nicolas Chuquet
9020074050;9020074049;4.14;1;residential;Rue Nicolas Chuquet
9020074049;2190217466;4.56;1;residential;Rue Nicolas Chuquet
2190217466;9020074048;4.24;1;residential;Rue Nicolas Chuquet
9020074048;9020074047;3.46;1;residential;Rue Nicolas Chuquet
9020074047;9020073974;8.30;1;residential;Rue Nicolas Chuquet
4622395493;11324050341;45.62;1;primary;Boulevard Gouvion-Saint-Cyr
11324050341;11313865525;4.29;1;primary;Boulevard Gouvion-Saint-Cyr
11313865525;11313865524;8.97;1;primary;Boulevard Gouvion-Saint-Cyr
11313865524;11313865542;5.32;1;primary;Boulevard Gouvion-Saint-Cyr
11313865542;11313881528;6.51;1;primary;Boulevard Gouvion-Saint-Cyr
11313881528;11324061313;11.20;1;primary;Boulevard Gouvion-Saint-Cyr
11324061313;27286625;3.95;1;primary;Boulevard Gouvion-Saint-Cyr
27286625;4622395495;3.62;1;primary;Boulevard Gouvion-Saint-Cyr
4622395495;2483766584;36.36;1;primary;Boulevard Gouvion-Saint-Cyr
2483766584;6409834934;67.72;1;primary;Boulevard Gouvion-Saint-Cyr
6409834934;27286624;14.27;1;primary;Boulevard Gouvion-Saint-Cyr
27286624;6409836575;15.39;1;primary;Boulevard Gouvion-Saint-Cyr
6409836575;27286618;54.58;1;primary;Boulevard Gouvion-Saint-Cyr
27286618;5110559211;25.37;1;primary;Boulevard Gouvion-Saint-Cyr
5110559211;27286619;17.31;1;primary;Boulevard Gouvion-Saint-Cyr
27286619;3202256742;36.66;1;primary;Boulevard Gouvion-Saint-Cyr
3202256742;11311444827;4.01;1;primary;Boulevard Gouvion-Saint-Cyr
11311444827;27286611;3.27;1;primary;Boulevard Gouvion-Saint-Cyr
